driverId,lap,position,time_x,milliseconds,DriverName2,circuitId
1,1,1,01:41.4,101425,Hamilton,20
1,2,1,01:38.8,98841,Hamilton,20
1,3,1,01:38.6,98641,Hamilton,20
1,4,1,01:38.3,98321,Hamilton,20
1,5,1,01:38.3,98276,Hamilton,20
1,6,1,01:38.0,98043,Hamilton,20
1,7,1,01:38.0,98043,Hamilton,20
1,8,1,01:38.0,98029,Hamilton,20
1,9,1,01:38.3,98278,Hamilton,20
1,10,1,01:38.2,98218,Hamilton,20
1,11,1,01:38.7,98709,Hamilton,20
1,12,2,01:39.7,99667,Hamilton,20
1,13,1,01:39.3,99312,Hamilton,20
1,14,1,01:38.8,98775,Hamilton,20
1,15,1,01:38.1,98101,Hamilton,20
1,16,1,01:40.5,100509,Hamilton,20
1,17,2,01:55.7,115745,Hamilton,20
1,18,2,01:37.3,97321,Hamilton,20
1,19,2,01:36.7,96718,Hamilton,20
1,20,2,01:36.9,96920,Hamilton,20
1,21,2,01:36.7,96749,Hamilton,20
1,22,2,01:36.6,96620,Hamilton,20
1,23,2,01:36.4,96385,Hamilton,20
1,24,2,01:36.6,96583,Hamilton,20
1,25,2,01:36.5,96493,Hamilton,20
1,26,2,01:36.4,96384,Hamilton,20
1,27,2,01:36.4,96437,Hamilton,20
1,28,2,01:36.6,96634,Hamilton,20
1,29,2,01:36.8,96828,Hamilton,20
1,30,1,01:36.6,96623,Hamilton,20
1,31,2,01:38.9,98949,Hamilton,20
1,32,2,01:52.8,112837,Hamilton,20
1,33,1,01:35.2,95224,Hamilton,20
1,34,1,01:35.1,95117,Hamilton,20
1,35,1,01:35.1,95083,Hamilton,20
1,36,1,01:35.1,95063,Hamilton,20
1,37,1,01:35.3,95287,Hamilton,20
1,38,1,01:35.4,95366,Hamilton,20
1,39,1,01:35.2,95213,Hamilton,20
1,40,1,01:35.5,95451,Hamilton,20
1,41,1,01:35.5,95486,Hamilton,20
1,42,1,01:35.3,95292,Hamilton,20
1,43,1,01:35.3,95281,Hamilton,20
1,44,1,01:35.8,95835,Hamilton,20
1,45,1,01:35.5,95483,Hamilton,20
1,46,1,01:35.4,95418,Hamilton,20
1,47,1,01:35.3,95330,Hamilton,20
1,48,1,01:35.3,95289,Hamilton,20
1,49,1,01:35.5,95542,Hamilton,20
1,50,1,01:35.6,95560,Hamilton,20
1,51,2,01:38.0,97962,Hamilton,20
1,52,3,01:52.9,112869,Hamilton,20
1,53,3,01:34.8,94821,Hamilton,20
1,54,2,01:34.6,94620,Hamilton,20
1,55,2,01:35.0,94952,Hamilton,20
1,56,2,01:34.8,94787,Hamilton,20
1,57,1,01:34.7,94682,Hamilton,20
1,58,1,01:34.7,94733,Hamilton,20
1,59,1,01:34.3,94302,Hamilton,20
1,60,1,01:34.9,94872,Hamilton,20
17,1,2,01:42.6,102625,Webber,20
17,2,2,01:39.6,99618,Webber,20
17,3,2,01:38.6,98621,Webber,20
17,4,2,01:38.2,98189,Webber,20
17,5,2,01:37.7,97659,Webber,20
17,6,2,01:37.8,97850,Webber,20
17,7,2,01:38.1,98089,Webber,20
17,8,2,01:37.9,97927,Webber,20
17,9,2,01:38.0,98028,Webber,20
17,10,2,01:38.3,98287,Webber,20
17,11,2,01:38.5,98499,Webber,20
17,12,1,01:39.0,98982,Webber,20
17,13,2,01:40.0,99958,Webber,20
17,14,3,01:41.2,101232,Webber,20
17,15,5,01:55.0,115036,Webber,20
17,16,4,01:37.0,97003,Webber,20
17,17,1,01:38.7,98668,Webber,20
17,18,1,01:36.9,96947,Webber,20
17,19,1,01:36.9,96947,Webber,20
17,20,1,01:36.6,96585,Webber,20
17,21,1,01:36.6,96551,Webber,20
17,22,1,01:36.5,96532,Webber,20
17,23,1,01:36.4,96380,Webber,20
17,24,1,01:36.5,96535,Webber,20
17,25,1,01:36.6,96557,Webber,20
17,26,1,01:36.5,96487,Webber,20
17,27,1,01:36.7,96728,Webber,20
17,28,1,01:36.6,96558,Webber,20
17,29,1,01:37.0,97040,Webber,20
17,30,3,01:38.9,98909,Webber,20
17,31,3,01:54.2,114195,Webber,20
17,32,3,01:37.0,96982,Webber,20
17,33,3,01:36.9,96852,Webber,20
17,34,3,01:36.8,96759,Webber,20
17,35,3,01:36.3,96269,Webber,20
17,36,3,01:35.9,95870,Webber,20
17,37,3,01:35.8,95838,Webber,20
17,38,3,01:35.9,95861,Webber,20
17,39,3,01:35.4,95408,Webber,20
17,40,3,01:35.7,95706,Webber,20
17,41,3,01:35.7,95657,Webber,20
17,42,3,01:36.3,96283,Webber,20
17,43,3,01:35.5,95453,Webber,20
17,44,3,01:35.3,95318,Webber,20
17,45,3,01:35.4,95367,Webber,20
17,46,3,01:35.5,95472,Webber,20
17,47,3,01:35.6,95634,Webber,20
17,48,3,01:35.3,95314,Webber,20
17,49,3,01:35.1,95112,Webber,20
17,50,3,01:34.7,94748,Webber,20
17,51,3,01:34.7,94694,Webber,20
17,52,2,01:35.2,95197,Webber,20
17,53,2,01:35.0,94964,Webber,20
17,54,1,01:35.2,95230,Webber,20
17,55,1,01:36.0,96035,Webber,20
17,56,1,01:37.5,97546,Webber,20
17,57,3,01:52.9,112920,Webber,20
17,58,3,01:34.9,94855,Webber,20
17,59,3,01:35.1,95088,Webber,20
17,60,3,01:34.5,94468,Webber,20
4,1,3,01:43.1,103129,Alonso,20
4,2,4,01:40.4,100439,Alonso,20
4,3,4,01:38.6,98576,Alonso,20
4,4,4,01:38.5,98505,Alonso,20
4,5,4,01:38.0,98047,Alonso,20
4,6,4,01:38.5,98509,Alonso,20
4,7,4,01:38.1,98100,Alonso,20
4,8,3,01:38.0,97998,Alonso,20
4,9,3,01:37.6,97647,Alonso,20
4,10,3,01:37.7,97676,Alonso,20
4,11,3,01:38.2,98196,Alonso,20
4,12,3,01:38.5,98461,Alonso,20
4,13,3,01:39.5,99462,Alonso,20
4,14,2,01:39.1,99054,Alonso,20
4,15,2,01:38.2,98237,Alonso,20
4,16,2,01:40.2,100190,Alonso,20
4,17,3,01:55.1,115061,Alonso,20
4,18,3,01:37.7,97667,Alonso,20
4,19,3,01:37.2,97236,Alonso,20
4,20,3,01:37.0,96977,Alonso,20
4,21,3,01:36.7,96679,Alonso,20
4,22,3,01:36.7,96726,Alonso,20
4,23,3,01:36.4,96394,Alonso,20
4,24,3,01:36.9,96897,Alonso,20
4,25,3,01:36.3,96258,Alonso,20
4,26,3,01:36.5,96457,Alonso,20
4,27,3,01:36.6,96565,Alonso,20
4,28,3,01:36.4,96368,Alonso,20
4,29,3,01:36.3,96252,Alonso,20
4,30,2,01:36.5,96490,Alonso,20
4,31,1,01:36.6,96602,Alonso,20
4,32,1,01:38.3,98281,Alonso,20
4,33,2,01:53.2,113237,Alonso,20
4,34,2,01:35.8,95821,Alonso,20
4,35,2,01:35.4,95369,Alonso,20
4,36,2,01:35.5,95469,Alonso,20
4,37,2,01:35.3,95295,Alonso,20
4,38,2,01:35.2,95217,Alonso,20
4,39,2,01:35.2,95213,Alonso,20
4,40,2,01:35.4,95356,Alonso,20
4,41,2,01:35.4,95412,Alonso,20
4,42,2,01:35.9,95886,Alonso,20
4,43,2,01:35.1,95076,Alonso,20
4,44,2,01:35.6,95568,Alonso,20
4,45,2,01:35.7,95656,Alonso,20
4,46,2,01:35.2,95214,Alonso,20
4,47,2,01:35.1,95111,Alonso,20
4,48,2,01:35.5,95468,Alonso,20
4,49,2,01:35.1,95119,Alonso,20
4,50,2,01:35.1,95127,Alonso,20
4,51,1,01:35.4,95366,Alonso,20
4,52,1,01:35.8,95810,Alonso,20
4,53,1,01:38.0,97993,Alonso,20
4,54,3,01:51.8,111807,Alonso,20
4,55,3,01:35.1,95081,Alonso,20
4,56,3,01:34.9,94936,Alonso,20
4,57,2,01:35.1,95108,Alonso,20
4,58,2,01:34.7,94683,Alonso,20
4,59,2,01:35.2,95154,Alonso,20
4,60,2,01:34.6,94626,Alonso,20
20,1,4,01:43.6,103606,Vettel,20
20,2,3,01:39.5,99486,Vettel,20
20,3,3,01:38.3,98322,Vettel,20
20,4,3,01:38.4,98449,Vettel,20
20,5,3,01:38.3,98339,Vettel,20
20,6,3,01:38.4,98444,Vettel,20
20,7,3,01:38.2,98204,Vettel,20
20,8,4,01:39.3,99300,Vettel,20
20,9,4,01:45.0,105031,Vettel,20
20,10,4,01:39.1,99127,Vettel,20
20,11,4,01:39.5,99516,Vettel,20
